Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
46,102,*,*,*,*,*,*,*,*,*,*,*,*
46,104,*,*,*,*,*,*,*,*,*,*,*,*
46,106,*,*,*,*,*,*,*,*,*,*,*,*
46,108,*,*,*,*,*,*,*,*,*,*,*,*
46,110,*,*,*,*,*,*,*,*,*,*,*,*
46,112,*,*,*,*,*,*,*,*,*,*,*,*
46,114,*,*,*,*,*,*,*,*,*,*,*,*
46,116,*,*,*,*,*,*,*,*,*,*,*,*
46,118,*,*,*,*,*,*,*,*,*,*,*,*
46,120,*,*,*,*,*,*,*,*,*,*,*,*
46,122,*,*,*,*,*,*,*,*,*,*,*,*
46,124,*,*,*,*,*,*,*,*,*,*,*,*
46,126,*,*,*,*,*,*,*,*,*,*,*,*
46,128,*,*,*,*,*,*,*,*,*,*,*,*
46,130,*,*,*,*,*,*,*,*,*,*,*,*
46,132,*,*,*,*,*,*,*,*,*,*,*,*
46,134,*,*,*,*,*,*,*,*,*,*,*,*
46,136,*,*,*,*,*,*,*,*,*,*,*,*
46,138,*,*,*,*,*,*,*,*,*,*,*,*
46,140,*,*,*,*,*,*,*,*,*,*,*,*
46,142,*,*,*,*,*,*,*,*,*,*,*,*
46,144,*,*,*,*,*,*,*,*,*,*,*,*
48,24,*,*,*,*,*,*,*,*,*,*,*,*
48,26,*,*,*,*,*,*,*,*,*,*,*,*
48,28,*,*,*,*,*,*,*,*,*,*,*,*
48,30,*,*,*,*,*,*,*,*,*,*,*,*
48,32,*,*,*,*,*,*,*,*,*,*,*,*
48,34,*,*,*,*,*,*,*,*,*,*,*,*
48,36,*,*,*,*,*,*,*,*,*,*,*,*
48,38,*,*,*,*,*,*,*,*,*,*,*,*
48,40,*,*,*,*,*,*,*,*,*,*,*,*
48,42,*,*,*,*,*,*,*,*,*,*,*,*
48,44,*,*,*,*,*,*,*,*,*,*,*,*
48,46,*,*,*,*,*,*,*,*,*,*,*,*
48,48,*,*,*,*,*,*,*,*,*,*,*,*
48,50,821.067782,0.078012,821.073583,0.051797,*,*,*,*,*,*,*,*
48,52,843.829632,0.095269,843.774399,0.001677,*,*,*,*,*,*,*,*
48,54,865.400332,0.029067,865.38213,0.001662,*,*,*,*,*,*,*,*
48,56,885.839749,0.009466,885.833455,0.001673,*,*,*,*,*,*,*,*
48,58,905.14021,0.005931,905.139849,0.001104,*,*,*,*,*,*,*,*
48,60,923.402672,0.005566,923.402761,0.001123,*,*,*,*,*,*,*,*
48,62,940.645972,0.002665,940.640951,0.00038,*,*,*,*,*,*,*,*
48,64,957.016136,0.002659,957.010477,0.00025,*,*,*,*,*,*,*,*
48,66,972.599195,0.002674,972.593186,0.000276,*,*,*,*,*,*,*,*
48,68,987.440282,0.00315,987.43337,0.00016,*,*,*,*,*,*,*,*
48,70,1001.572083,0.020247,1001.565167,0.020001,*,*,*,*,*,*,*,*
48,72,1014.980225,0.018793,1014.963515,0.003726,*,*,*,*,*,*,*,*
48,74,1027.879117,0.043023,1027.761171,0.002299,*,*,*,*,*,*,*,*
48,76,1040.002185,0.062641,1039.993105,0.002995,*,*,*,*,*,*,*,*
48,78,1051.761485,0.054143,1051.690871,0.002476,*,*,*,*,*,*,*,*
48,80,1062.865703,0.294042,1062.818595,0.007244,*,*,*,*,*,*,*,*
48,82,1073.289289,0.282769,1072.836929,0.022356,*,*,*,*,*,*,*,*
48,84,*,*,*,*,*,*,*,*,*,*,*,*
48,86,*,*,*,*,*,*,*,*,*,*,*,*
48,88,*,*,*,*,*,*,*,*,*,*,*,*
48,90,*,*,*,*,*,*,*,*,*,*,*,*
48,92,*,*,*,*,*,*,*,*,*,*,*,*
48,94,*,*,*,*,*,*,*,*,*,*,*,*
48,96,*,*,*,*,*,*,*,*,*,*,*,*
48,98,*,*,*,*,*,*,*,*,*,*,*,*
48,100,*,*,*,*,*,*,*,*,*,*,*,*
48,102,*,*,*,*,*,*,*,*,*,*,*,*
48,104,*,*,*,*,*,*,*,*,*,*,*,*
48,106,*,*,*,*,*,*,*,*,*,*,*,*
48,108,*,*,*,*,*,*,*,*,*,*,*,*
48,110,*,*,*,*,*,*,*,*,*,*,*,*
48,112,*,*,*,*,*,*,*,*,*,*,*,*
48,114,*,*,*,*,*,*,*,*,*,*,*,*
48,116,*,*,*,*,*,*,*,*,*,*,*,*
48,118,*,*,*,*,*,*,*,*,*,*,*,*
48,120,*,*,*,*,*,*,*,*,*,*,*,*
48,122,*,*,*,*,*,*,*,*,*,*,*,*
48,124,*,*,*,*,*,*,*,*,*,*,*,*
48,126,*,*,*,*,*,*,*,*,*,*,*,*
48,128,*,*,*,*,*,*,*,*,*,*,*,*
48,130,*,*,*,*,*,*,*,*,*,*,*,*
48,132,*,*,*,*,*,*,*,*,*,*,*,*
48,134,*,*,*,*,*,*,*,*,*,*,*,*
48,136,*,*,*,*,*,*,*,*,*,*,*,*
48,138,*,*,*,*,*,*,*,*,*,*,*,*
48,140,*,*,*,*,*,*,*,*,*,*,*,*
48,142,*,*,*,*,*,*,*,*,*,*,*,*
48,144,*,*,*,*,*,*,*,*,*,*,*,*
50,30,*,*,*,*,*,*,*,*,*,*,*,*
50,32,*,*,*,*,*,*,*,*,*,*,*,*
50,34,*,*,*,*,*,*,*,*,*,*,*,*
50,36,*,*,*,*,*,*,*,*,*,*,*,*
50,38,*,*,*,*,*,*,*,*,*,*,*,*
50,40,*,*,*,*,*,*,*,*,*,*,*,*
50,42,*,*,*,*,*,*,*,*,*,*,*,*
50,44,*,*,*,*,*,*,*,*,*,*,*,*
50,46,*,*,*,*,*,*,*,*,*,*,*,*
50,48,*,*,*,*,*,*,*,*,*,*,*,*
50,50,824.794966,0.705391,825.298109,0.301518,*,*,*,*,*,*,*,*
50,52,849.087261,0.13182,849.092657,0.100105,*,*,*,*,*,*,*,*
50,54,871.892036,0.103825,871.927456,0.005745,*,*,*,*,*,*,*,*
50,56,893.868249,0.050288,893.796732,0.005091,*,*,*,*,*,*,*,*
50,58,914.626664,0.019854,914.655619,0.005382,*,*,*,*,*,*,*,*
50,60,934.572204,0.013777,934.570299,0.013777,*,*,*,*,*,*,*,*
50,62,953.532221,0.004283,953.526008,0.000294,*,*,*,*,*,*,*,*
50,64,971.574489,0.003172,971.573311,2.9e-05,*,*,*,*,*,*,*,*
50,66,988.684331,0.002943,988.682194,9.6e-05,*,*,*,*,*,*,*,*
50,68,1004.95492,0.002888,1004.951713,0.000499,*,*,*,*,*,*,*,*
50,70,1020.546568,0.002504,1020.539864,0.000896,*,*,*,*,*,*,*,*
50,72,1035.530081,0.002716,1035.525464,0.002395,*,*,*,*,*,*,*,*
50,74,1049.963519,0.001394,1049.96096,0.001014,*,*,*,*,*,*,*,*
50,76,1063.889819,0.010698,1063.884643,0.010447,*,*,*,*,*,*,*,*
50,78,1077.346637,0.027219,1077.374047,0.01766,*,*,*,*,*,*,*,*
50,80,1090.293623,0.010685,1090.28688,0.001873,*,*,*,*,*,*,*,*
50,82,1102.851481,0.013644,1102.843852,0.001976,*,*,*,*,*,*,*,*
50,84,1109.235737,0.099945,1108.873694,0.003167,*,*,*,*,*,*,*,*
50,86,*,*,*,*,*,*,*,*,*,*,*,*
50,88,*,*,*,*,*,*,*,*,*,*,*,*
50,90,*,*,*,*,*,*,*,*,*,*,*,*
50,92,*,*,*,*,*,*,*,*,*,*,*,*
50,94,*,*,*,*,*,*,*,*,*,*,*,*
50,96,*,*,*,*,*,*,*,*,*,*,*,*
50,98,*,*,*,*,*,*,*,*,*,*,*,*
50,100,*,*,*,*,*,*,*,*,*,*,*,*
50,102,*,*,*,*,*,*,*,*,*,*,*,*
50,104,*,*,*,*,*,*,*,*,*,*,*,*
50,106,*,*,*,*,*,*,*,*,*,*,*,*
50,108,*,*,*,*,*,*,*,*,*,*,*,*
50,110,*,*,*,*,*,*,*,*,*,*,*,*
50,112,*,*,*,*,*,*,*,*,*,*,*,*
50,114,*,*,*,*,*,*,*,*,*,*,*,*
50,116,*,*,*,*,*,*,*,*,*,*,*,*
50,118,*,*,*,*,*,*,*,*,*,*,*,*
50,120,*,*,*,*,*,*,*,*,*,*,*,*
50,122,*,*,*,*,*,*,*,*,*,*,*,*
50,124,*,*,*,*,*,*,*,*,*,*,*,*
50,126,*,*,*,*,*,*,*,*,*,*,*,*
50,128,*,*,*,*,*,*,*,*,*,*,*,*
50,130,*,*,*,*,*,*,*,*,*,*,*,*
50,132,*,*,*,*,*,*,*,*,*,*,*,*
50,134,*,*,*,*,*,*,*,*,*,*,*,*
50,136,*,*,*,*,*,*,*,*,*,*,*,*
50,138,*,*,*,*,*,*,*,*,*,*,*,*
50,140,*,*,*,*,*,*,*,*,*,*,*,*
50,142,*,*,*,*,*,*,*,*,*,*,*,*
50,144,*,*,*,*,*,*,*,*,*,*,*,*
50,146,*,*,*,*,*,*,*,*,*,*,*,*
52,36,*,*,*,*,*,*,*,*,*,*,*,*
52,38,*,*,*,*,*,*,*,*,*,*,*,*
52,40,*,*,*,*,*,*,*,*,*,*,*,*
52,42,*,*,*,*,*,*,*,*,*,*,*,*
52,44,*,*,*,*,*,*,*,*,*,*,*,*
52,46,*,*,*,*,*,*,*,*,*,*,*,*
52,48,*,*,*,*,*,*,*,*,*,*,*,*
52,50,*,*,*,*,*,*,*,*,*,*,*,*
52,52,*,*,*,*,*,*,*,*,*,*,*,*
52,54,873.092808,0.132152,873.098127,0.100541,*,*,*,*,*,*,*,*
52,56,896.742949,0.103908,896.802681,0.005411,*,*,*,*,*,*,*,*
52,58,919.44077,0.052642,919.393461,0.006575,*,*,*,*,*,*,*,*
52,60,940.607553,0.170277,940.873794,0.008383,*,*,*,*,*,*,*,*
52,62,961.337492,0.027945,961.337491,0.027945,*,*,*,*,*,*,*,*
52,64,980.86052,0.027945,980.860519,0.027945,*,*,*,*,*,*,*,*
52,66,999.455237,0.01477,999.430777,0.018481,*,*,*,*,*,*,*,*
52,68,1017.281416,0.009696,1017.244816,0.003085,*,*,*,*,*,*,*,*
52,70,1034.333493,0.00149,1034.333925,0.001507,*,*,*,*,*,*,*,*
52,72,1050.686649,0.001475,1050.687422,0.001502,*,*,*,*,*,*,*,*
52,74,1066.369312,0.001477,1066.370085,0.001504,*,*,*,*,*,*,*,*
52,76,1081.439463,0.00175,1081.441088,0.000866,*,*,*,*,*,*,*,*
52,78,1095.941418,0.001926,1095.942957,1.1e-05,*,*,*,*,*,*,*,*
52,80,1109.914827,0.006924,1109.92083,0.003486,*,*,*,*,*,*,*,*
52,82,1123.43477,0.010663,1123.409021,0.002746,*,*,*,*,*,*,*,*
52,84,1131.443126,0.045231,1131.443185,0.002281,*,*,*,*,*,*,*,*
52,86,*,*,1138.856536,0.003787,*,*,*,*,*,*,*,*
52,88,*,*,1145.879415,0.06241,*,*,*,*,*,*,*,*
52,90,*,*,*,*,*,*,*,*,*,*,*,*
52,92,*,*,*,*,*,*,*,*,*,*,*,*
52,94,*,*,*,*,*,*,*,*,*,*,*,*
52,96,*,*,*,*,*,*,*,*,*,*,*,*
52,98,*,*,*,*,*,*,*,*,*,*,*,*
52,100,*,*,*,*,*,*,*,*,*,*,*,*
52,102,*,*,*,*,*,*,*,*,*,*,*,*
52,104,*,*,*,*,*,*,*,*,*,*,*,*
52,106,*,*,*,*,*,*,*,*,*,*,*,*
52,108,*,*,*,*,*,*,*,*,*,*,*,*
52,110,*,*,*,*,*,*,*,*,*,*,*,*
52,112,*,*,*,*,*,*,*,*,*,*,*,*
52,114,*,*,*,*,*,*,*,*,*,*,*,*
52,116,*,*,*,*,*,*,*,*,*,*,*,*
52,118,*,*,*,*,*,*,*,*,*,*,*,*
52,120,*,*,*,*,*,*,*,*,*,*,*,*
52,122,*,*,*,*,*,*,*,*,*,*,*,*
52,124,*,*,*,*,*,*,*,*,*,*,*,*
52,126,*,*,*,*,*,*,*,*,*,*,*,*
52,128,*,*,*,*,*,*,*,*,*,*,*,*
52,130,*,*,*,*,*,*,*,*,*,*,*,*
52,132,*,*,*,*,*,*,*,*,*,*,*,*
52,134,*,*,*,*,*,*,*,*,*,*,*,*
52,136,*,*,*,*,*,*,*,*,*,*,*,*
52,138,*,*,*,*,*,*,*,*,*,*,*,*
52,140,*,*,*,*,*,*,*,*,*,*,*,*
52,142,*,*,*,*,*,*,*,*,*,*,*,*
52,144,*,*,*,*,*,*,*,*,*,*,*,*
52,146,*,*,*,*,*,*,*,*,*,*,*,*
54,38,*,*,*,*,*,*,*,*,*,*,*,*
54,40,*,*,*,*,*,*,*,*,*,*,*,*
54,42,*,*,*,*,*,*,*,*,*,*,*,*
54,44,*,*,*,*,*,*,*,*,*,*,*,*
54,46,*,*,*,*,*,*,*,*,*,*,*,*
54,48,*,*,*,*,*,*,*,*,*,*,*,*
54,50,*,*,*,*,*,*,*,*,*,*,*,*
54,52,*,*,*,*,*,*,*,*,*,*,*,*
54,54,*,*,*,*,*,*,*,*,*,*,*,*
54,56,897.50363,0.132883,897.521609,0.100988,*,*,*,*,*,*,*,*
54,58,921.708305,0.104097,921.767958,0.008283,*,*,*,*,*,*,*,*
54,60,944.970169,0.011178,944.970146,0.011178,*,*,*,*,*,*,*,*
54,62,967.073638,0.013041,967.073615,0.013041,*,*,*,*,*,*,*,*
54,64,988.248608,0.010378,988.248584,0.010378,*,*,*,*,*,*,*,*
54,66,1008.484611,0.011817,1008.484586,0.011817,*,*,*,*,*,*,*,*
54,68,1027.809801,0.011111,1027.809776,0.011111,*,*,*,*,*,*,*,*
54,70,1046.257538,0.001827,1046.258856,0.001793,*,*,*,*,*,*,*,*
54,72,1063.908606,0.006246,1063.887032,0.0035,*,*,*,*,*,*,*,*
54,74,1080.742745,0.001428,1080.743004,0.001061,*,*,*,*,*,*,*,*
54,76,1096.907055,0.00075,1096.905805,9e-06,*,*,*,*,*,*,*,*
54,78,1112.448458,0.000972,1112.44694,5e-06,*,*,*,*,*,*,*,*
54,80,1127.435104,0.00084,1127.436436,9e-06,*,*,*,*,*,*,*,*
54,82,1141.878386,0.007041,1141.882408,7e-06,*,*,*,*,*,*,*,*
54,84,1151.746775,0.043378,1151.568118,0.002804,*,*,*,*,*,*,*,*
54,86,1160.729513,0.060558,1160.724972,0.002329,*,*,*,*,*,*,*,*
54,88,1169.356253,0.10056,1169.110796,0.002701,*,*,*,*,*,*,*,*
54,90,*,*,1176.896086,0.00531,*,*,*,*,*,*,*,*
54,92,*,*,1184.121371,0.024219,*,*,*,*,*,*,*,*
54,94,*,*,*,*,*,*,*,*,*,*,*,*
54,96,*,*,*,*,*,*,*,*,*,*,*,*
54,98,*,*,*,*,*,*,*,*,*,*,*,*
54,100,*,*,*,*,*,*,*,*,*,*,*,*
54,102,*,*,*,*,*,*,*,*,*,*,*,*
54,104,*,*,*,*,*,*,*,*,*,*,*,*
54,106,*,*,*,*,*,*,*,*,*,*,*,*
54,108,*,*,*,*,*,*,*,*,*,*,*,*
54,110,*,*,*,*,*,*,*,*,*,*,*,*
54,112,*,*,*,*,*,*,*,*,*,*,*,*
54,114,*,*,*,*,*,*,*,*,*,*,*,*
54,116,*,*,*,*,*,*,*,*,*,*,*,*
54,118,*,*,*,*,*,*,*,*,*,*,*,*
54,120,*,*,*,*,*,*,*,*,*,*,*,*
54,122,*,*,*,*,*,*,*,*,*,*,*,*
54,124,*,*,*,*,*,*,*,*,*,*,*,*
54,126,*,*,*,*,*,*,*,*,*,*,*,*
54,128,*,*,*,*,*,*,*,*,*,*,*,*
54,130,*,*,*,*,*,*,*,*,*,*,*,*
54,132,*,*,*,*,*,*,*,*,*,*,*,*
54,134,*,*,*,*,*,*,*,*,*,*,*,*
54,136,*,*,*,*,*,*,*,*,*,*,*,*
54,138,*,*,*,*,*,*,*,*,*,*,*,*
54,140,*,*,*,*,*,*,*,*,*,*,*,*
54,142,*,*,*,*,*,*,*,*,*,*,*,*
54,144,*,*,*,*,*,*,*,*,*,*,*,*
54,146,*,*,*,*,*,*,*,*,*,*,*,*
56,40,*,*,*,*,*,*,*,*,*,*,*,*
56,42,*,*,*,*,*,*,*,*,*,*,*,*
56,44,*,*,*,*,*,*,*,*,*,*,*,*
56,46,*,*,*,*,*,*,*,*,*,*,*,*
56,48,*,*,*,*,*,*,*,*,*,*,*,*
56,50,*,*,*,*,*,*,*,*,*,*,*,*
56,52,*,*,*,*,*,*,*,*,*,*,*,*
56,54,*,*,*,*,*,*,*,*,*,*,*,*
56,56,*,*,*,*,*,*,*,*,*,*,*,*
56,58,922.265154,0.1392,922.225016,0.102676,*,*,*,*,*,*,*,*
56,60,*,*,*,*,*,*,*,*,*,*,*,*
56,62,*,*,*,*,*,*,*,*,*,*,*,*
56,64,993.63616,0.300166,993.636136,0.300166,*,*,*,*,*,*,*,*
56,66,1015.499077,0.027945,1015.499077,0.027945,*,*,*,*,*,*,*,*
56,68,1036.122569,0.012497,1036.122544,0.012497,*,*,*,*,*,*,*,*
56,70,1055.845332,0.012497,1055.845306,0.012497,*,*,*,*,*,*,*,*
56,72,1074.719554,0.010095,1074.696537,0.005195,*,*,*,*,*,*,*,*
56,74,1092.722279,0.00279,1092.72222,0.002553,*,*,*,*,*,*,*,*
56,76,1110.038153,0.001057,1110.038329,0.001054,*,*,*,*,*,*,*,*
56,78,1126.695816,0.000399,1126.695801,0.000304,*,*,*,*,*,*,*,*
56,80,1142.775518,0.000414,1142.775504,0.000306,*,*,*,*,*,*,*,*
56,82,1158.29285,0.000423,1158.292857,0.000317,*,*,*,*,*,*,*,*
56,84,1169.445223,0.007959,1169.443209,0.007933,*,*,*,*,*,*,*,*
56,86,1180.139638,0.006181,1180.158755,0.00592,*,*,*,*,*,*,*,*
56,88,1190.228083,0.013349,1190.226248,0.007136,*,*,*,*,*,*,*,*
56,90,1199.601812,0.072302,1199.548848,0.020863,*,*,*,*,*,*,*,*
56,92,1208.757801,0.084181,1208.338133,0.063079,*,*,*,*,*,*,*,*
56,94,*,*,*,*,*,*,*,*,*,*,*,*
56,96,*,*,*,*,*,*,*,*,*,*,*,*
56,98,*,*,*,*,*,*,*,*,*,*,*,*
56,100,*,*,*,*,*,*,*,*,*,*,*,*
56,102,*,*,*,*,*,*,*,*,*,*,*,*
56,104,*,*,*,*,*,*,*,*,*,*,*,*
56,106,*,*,*,*,*,*,*,*,*,*,*,*
56,108,*,*,*,*,*,*,*,*,*,*,*,*
56,110,*,*,*,*,*,*,*,*,*,*,*,*
56,112,*,*,*,*,*,*,*,*,*,*,*,*
56,114,*,*,*,*,*,*,*,*,*,*,*,*
56,116,*,*,*,*,*,*,*,*,*,*,*,*
56,118,*,*,*,*,*,*,*,*,*,*,*,*
56,120,*,*,*,*,*,*,*,*,*,*,*,*
56,122,*,*,*,*,*,*,*,*,*,*,*,*
56,124,*,*,*,*,*,*,*,*,*,*,*,*
56,126,*,*,*,*,*,*,*,*,*,*,*,*
56,128,*,*,*,*,*,*,*,*,*,*,*,*
56,130,*,*,*,*,*,*,*,*,*,*,*,*
56,132,*,*,*,*,*,*,*,*,*,*,*,*
56,134,*,*,*,*,*,*,*,*,*,*,*,*
56,136,*,*,*,*,*,*,*,*,*,*,*,*
56,138,*,*,*,*,*,*,*,*,*,*,*,*
56,140,*,*,*,*,*,*,*,*,*,*,*,*
56,142,*,*,*,*,*,*,*,*,*,*,*,*
56,144,*,*,*,*,*,*,*,*,*,*,*,*
56,146,*,*,*,*,*,*,*,*,*,*,*,*
56,148,*,*,*,*,*,*,*,*,*,*,*,*
56,150,*,*,*,*,*,*,*,*,*,*,*,*
56,152,*,*,*,*,*,*,*,*,*,*,*,*
58,40,*,*,*,*,*,*,*,*,*,*,*,*
58,42,*,*,*,*,*,*,*,*,*,*,*,*
58,44,*,*,*,*,*,*,*,*,*,*,*,*
58,46,*,*,*,*,*,*,*,*,*,*,*,*
58,48,*,*,*,*,*,*,*,*,*,*,*,*
58,50,*,*,*,*,*,*,*,*,*,*,*,*
58,52,*,*,*,*,*,*,*,*,*,*,*,*
58,54,*,*,*,*,*,*,*,*,*,*,*,*
58,56,*,*,*,*,*,*,*,*,*,*,*,*
58,58,*,*,*,*,*,*,*,*,*,*,*,*
58,60,*,*,*,*,*,*,*,*,*,*,*,*
58,62,*,*,*,*,*,*,*,*,*,*,*,*
58,64,*,*,*,*,*,*,*,*,*,*,*,*
58,66,*,*,*,*,*,*,*,*,*,*,*,*
58,68,1042.431296,0.027945,1042.431296,0.027945,*,*,*,*,*,*,*,*
58,70,1063.287292,0.027945,1063.287291,0.027945,*,*,*,*,*,*,*,*
58,72,1083.318915,0.027945,1083.318915,0.027945,*,*,*,*,*,*,*,*
58,74,1102.512671,0.020574,1102.509542,0.020442,*,*,*,*,*,*,*,*
58,76,1121.017264,0.020387,1121.01417,0.020387,*,*,*,*,*,*,*,*
58,78,1138.792249,0.013308,1138.832289,0.000408,*,*,*,*,*,*,*,*
58,80,1156.035074,0.010156,1156.037475,0.004931,*,*,*,*,*,*,*,*
58,82,1172.692467,0.002462,1172.685278,0.001596,*,*,*,*,*,*,*,*
58,84,1185.290304,0.002993,1185.285013,0.002509,*,*,*,*,*,*,*,*
58,86,1197.331449,0.003444,1197.32633,0.002885,*,*,*,*,*,*,*,*
58,88,1208.712592,0.066442,1208.672485,0.016306,*,*,*,*,*,*,*,*
58,90,1219.570488,0.029425,1219.57814,0.011195,*,*,*,*,*,*,*,*
58,92,1230.146031,0.047814,1230.169222,0.011697,*,*,*,*,*,*,*,*
58,94,*,*,*,*,*,*,*,*,*,*,*,*
58,96,*,*,*,*,*,*,*,*,*,*,*,*
58,98,*,*,*,*,*,*,*,*,*,*,*,*
58,100,*,*,*,*,*,*,*,*,*,*,*,*
58,102,*,*,*,*,*,*,*,*,*,*,*,*
58,104,*,*,*,*,*,*,*,*,*,*,*,*
58,106,*,*,*,*,*,*,*,*,*,*,*,*
58,108,*,*,*,*,*,*,*,*,*,*,*,*
58,110,*,*,*,*,*,*,*,*,*,*,*,*
58,112,*,*,*,*,*,*,*,*,*,*,*,*
58,114,*,*,*,*,*,*,*,*,*,*,*,*
58,116,*,*,*,*,*,*,*,*,*,*,*,*
58,118,*,*,*,*,*,*,*,*,*,*,*,*
58,120,*,*,*,*,*,*,*,*,*,*,*,*
58,122,*,*,*,*,*,*,*,*,*,*,*,*
58,124,*,*,*,*,*,*,*,*,*,*,*,*
58,126,*,*,*,*,*,*,*,*,*,*,*,*
58,128,*,*,*,*,*,*,*,*,*,*,*,*
58,130,*,*,*,*,*,*,*,*,*,*,*,*
58,132,*,*,*,*,*,*,*,*,*,*,*,*
58,134,*,*,*,*,*,*,*,*,*,*,*,*
58,136,*,*,*,*,*,*,*,*,*,*,*,*
58,138,*,*,*,*,*,*,*,*,*,*,*,*
58,140,*,*,*,*,*,*,*,*,*,*,*,*
58,142,*,*,*,*,*,*,*,*,*,*,*,*
58,144,*,*,*,*,*,*,*,*,*,*,*,*
58,146,*,*,*,*,*,*,*,*,*,*,*,*
58,148,*,*,*,*,*,*,*,*,*,*,*,*
58,150,*,*,*,*,*,*,*,*,*,*,*,*
58,152,*,*,*,*,*,*,*,*,*,*,*,*
58,154,*,*,*,*,*,*,*,*,*,*,*,*
58,156,*,*,*,*,*,*,*,*,*,*,*,*
58,158,*,*,*,*,*,*,*,*,*,*,*,*
58,160,*,*,*,*,*,*,*,*,*,*,*,*
58,162,*,*,*,*,*,*,*,*,*,*,*,*
58,164,*,*,*,*,*,*,*,*,*,*,*,*
60,44,*,*,*,*,*,*,*,*,*,*,*,*
60,46,*,*,*,*,*,*,*,*,*,*,*,*
60,48,*,*,*,*,*,*,*,*,*,*,*,*
60,50,*,*,*,*,*,*,*,*,*,*,*,*
60,52,*,*,*,*,*,*,*,*,*,*,*,*
60,54,*,*,*,*,*,*,*,*,*,*,*,*
60,56,*,*,*,*,*,*,*,*,*,*,*,*
60,58,*,*,*,*,*,*,*,*,*,*,*,*
60,60,*,*,*,*,*,*,*,*,*,*,*,*
60,62,*,*,*,*,*,*,*,*,*,*,*,*
60,64,*,*,*,*,*,*,*,*,*,*,*,*
60,66,*,*,*,*,*,*,*,*,*,*,*,*
60,68,*,*,*,*,*,*,*,*,*,*,*,*
60,70,1068.927577,0.027945,1068.927576,0.027945,*,*,*,*,*,*,*,*
60,72,1089.899788,0.024205,1089.899787,0.024205,*,*,*,*,*,*,*,*
60,74,1110.263074,0.011817,1110.263047,0.011817,*,*,*,*,*,*,*,*
60,76,1129.958565,0.011817,1129.958538,0.011817,*,*,*,*,*,*,*,*
60,78,1148.91997,0.011817,1148.920197,0.011601,*,*,*,*,*,*,*,*
60,80,1167.296293,0.027945,1167.303435,0.003447,*,*,*,*,*,*,*,*
60,82,1185.142354,0.002328,1185.137139,0.001368,*,*,*,*,*,*,*,*
60,84,1199.082959,0.002328,1199.077751,0.001367,*,*,*,*,*,*,*,*
60,86,1212.40348,0.002334,1212.398297,0.001386,*,*,*,*,*,*,*,*
60,88,1225.02847,0.002837,1225.023062,0.002127,*,*,*,*,*,*,*,*
60,90,1237.447365,0.003184,1237.437457,0.001289,*,*,*,*,*,*,*,*
60,92,1250.058399,0.024609,1250.049745,0.024485,*,*,*,*,*,*,*,*
60,94,1261.734439,0.114008,1261.867949,0.052642,*,*,*,*,*,*,*,*
60,96,1272.715846,0.202934,1272.659253,0.200033,1272.395779,0.00238,*,*,*,*,*,*
60,98,*,*,*,*,1282.225405,0.03667,*,*,*,*,*,*
60,100,*,*,*,*,*,*,*,*,*,*,1291.195881,0.047
60,102,*,*,*,*,*,*,*,*,*,*,*,*
60,104,*,*,*,*,*,*,*,*,*,*,*,*
60,106,*,*,*,*,*,*,*,*,*,*,*,*
60,108,*,*,*,*,*,*,*,*,*,*,*,*
60,110,*,*,*,*,*,*,*,*,*,*,*,*
60,112,*,*,*,*,*,*,*,*,*,*,*,*
60,114,*,*,*,*,*,*,*,*,*,*,*,*
60,116,*,*,*,*,*,*,*,*,*,*,*,*
60,118,*,*,*,*,*,*,*,*,*,*,*,*
60,120,*,*,*,*,*,*,*,*,*,*,*,*
60,122,*,*,*,*,*,*,*,*,*,*,*,*
60,124,*,*,*,*,*,*,*,*,*,*,*,*
60,126,*,*,*,*,*,*,*,*,*,*,*,*
60,128,*,*,*,*,*,*,*,*,*,*,*,*
60,130,*,*,*,*,*,*,*,*,*,*,*,*
60,132,*,*,*,*,*,*,*,*,*,*,*,*
60,134,*,*,*,*,*,*,*,*,*,*,*,*
60,136,*,*,*,*,*,*,*,*,*,*,*,*
60,138,*,*,*,*,*,*,*,*,*,*,*,*
60,140,*,*,*,*,*,*,*,*,*,*,*,*
60,142,*,*,*,*,*,*,*,*,*,*,*,*
60,144,*,*,*,*,*,*,*,*,*,*,*,*
60,146,*,*,*,*,*,*,*,*,*,*,*,*
60,148,*,*,*,*,*,*,*,*,*,*,*,*
60,150,*,*,*,*,*,*,*,*,*,*,*,*
60,152,*,*,*,*,*,*,*,*,*,*,*,*
60,154,*,*,*,*,*,*,*,*,*,*,*,*
60,156,*,*,*,*,*,*,*,*,*,*,*,*
60,158,*,*,*,*,*,*,*,*,*,*,*,*
60,160,*,*,*,*,*,*,*,*,*,*,*,*
60,162,*,*,*,*,*,*,*,*,*,*,*,*
60,164,*,*,*,*,*,*,*,*,*,*,*,*
60,166,*,*,*,*,*,*,*,*,*,*,*,*
60,168,*,*,*,*,*,*,*,*,*,*,*,*
62,48,*,*,*,*,*,*,*,*,*,*,*,*
62,50,*,*,*,*,*,*,*,*,*,*,*,*
62,52,*,*,*,*,*,*,*,*,*,*,*,*
62,54,*,*,*,*,*,*,*,*,*,*,*,*
