Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,NEW2018,NEW2018_sd
18,70,*,*,*,*,*,*,*,*,*,*,*,*
18,72,*,*,*,*,*,*,*,*,*,*,*,*
18,74,*,*,*,*,*,*,*,*,*,*,*,*
20,2,*,*,*,*,*,*,*,*,*,*,*,*
20,4,*,*,*,*,*,*,*,*,*,*,*,*
20,6,*,*,*,*,*,*,*,*,*,*,*,*
20,8,*,*,*,*,*,*,*,*,*,*,*,*
20,10,*,*,*,*,*,*,*,*,*,*,*,*
20,12,*,*,*,*,*,*,*,*,*,*,*,*
20,14,*,*,*,*,*,*,*,*,*,*,*,*
20,16,281.360142,0.040001,281.371932,0.04,*,*,*,*,*,*,*,*
20,18,313.122639,0.004557,313.121918,0.000194,*,*,*,*,*,*,*,*
20,20,342.05233,0.000209,342.052439,2.1e-05,*,*,*,*,*,*,*,*
20,22,361.895763,0.000249,361.895936,0.000149,*,*,*,*,*,*,*,*
20,24,380.959806,0.000376,380.960002,0.000325,*,*,*,*,*,*,*,*
20,26,398.769039,0.002276,398.773323,0.002235,*,*,*,*,*,*,*,*
20,28,415.990727,0.004082,416.001227,9.6e-05,*,*,*,*,*,*,*,*
20,30,427.490066,0.009268,427.508458,0.001584,*,*,*,*,*,*,*,*
20,32,436.571011,0.698621,438.328136,0.000671,*,*,*,*,*,*,*,*
20,34,*,*,445.365091,0.048438,*,*,*,*,*,*,*,*
20,36,*,*,*,*,*,*,*,*,449.857141,0.25,*,*
20,38,*,*,*,*,*,*,*,*,*,*,*,*
20,40,*,*,*,*,*,*,*,*,*,*,*,*
20,42,*,*,*,*,*,*,*,*,*,*,*,*
20,44,*,*,*,*,*,*,*,*,*,*,*,*
20,46,*,*,*,*,*,*,*,*,*,*,*,*
20,48,*,*,*,*,*,*,*,*,*,*,*,*
20,50,*,*,*,*,*,*,*,*,*,*,*,*
20,52,*,*,*,*,*,*,*,*,*,*,*,*
20,54,*,*,*,*,*,*,*,*,*,*,*,*
20,56,*,*,*,*,*,*,*,*,*,*,*,*
20,58,*,*,*,*,*,*,*,*,*,*,*,*
20,60,*,*,*,*,*,*,*,*,*,*,*,*
20,62,*,*,*,*,*,*,*,*,*,*,*,*
20,64,*,*,*,*,*,*,*,*,*,*,*,*
20,66,*,*,*,*,*,*,*,*,*,*,*,*
20,68,*,*,*,*,*,*,*,*,*,*,*,*
20,70,*,*,*,*,*,*,*,*,*,*,*,*
20,72,*,*,*,*,*,*,*,*,*,*,*,*
20,74,*,*,*,*,*,*,*,*,*,*,*,*
20,76,*,*,*,*,*,*,*,*,*,*,*,*
22,2,*,*,*,*,*,*,*,*,*,*,*,*
22,4,*,*,*,*,*,*,*,*,*,*,*,*
22,6,*,*,*,*,*,*,*,*,*,*,*,*
22,8,*,*,*,*,*,*,*,*,*,*,*,*
22,10,*,*,*,*,*,*,*,*,*,*,*,*
22,12,*,*,*,*,*,*,*,*,*,*,*,*
22,14,*,*,*,*,*,*,*,*,*,*,*,*
22,16,*,*,*,*,*,*,*,*,*,*,*,*
22,18,314.491664,0.16,314.491773,0.16,*,*,*,*,*,*,*,*
22,20,346.905577,0.005452,346.888699,0.000277,*,*,*,*,*,*,*,*
22,22,375.475119,0.000731,375.475229,0.0007,*,*,*,*,*,*,*,*
